26
2 1 2 6 3 2 1 2 6 1 2 6 3 2 1 2 6 1 2 6 3 2 1 2 6 3

2 7
5 7
8 4
6 1
11 1
11 7
8 11
6 14
11 14
15 7
18 4
16 1
21 1
20 7
18 10
16 14
21 14
24 7
27 4
24 1
30 1
30 7
27 11
24 14
29 14
34 7

68

0 1 2
1 0 2
2 1 1
1 2 1
1 6 2
2 3 3
2 4 2
2 5 4
3 2 3
3 4 3
4 2 2
4 3 3
5 2 4
5 6 4
5 9 2
6 1 2
6 5 4
6 7 1
6 8 2
7 6 1
7 8 2
8 7 2
8 6 2
9 5 1
9 10 1
9 14 2
10 9 1
10 11 6
10 12 2
10 13 4
11 10 3 
11 12 3
12 10 2
12 11 3
13 10 4
13 14 4
13 17 2
14 9 2
14 13 4
14 15 1
14 16 2
15 14 1
15 16 2
16 14 2
16 15 2
17 13 2
17 18 1
17 22 2
18 17 1
18 19 3
18 20 2
18 21 4
19 18 3
19 20 3
20 18 2
20 19 3
21 18 4
21 22 4
21 25 2
22 17 2
22 21 4
22 23 1
22 24 2
23 22 1
23 24 2
24 22 2
24 23 2
25 21 2

6

0 25
